Division,Gender,Base Salary
Board of Appeals Division,F,78902
Board of Appeals Division,F,58481.91
Executive Director,F,144751
Director,F,183654.18
Polling Place Management,F,62488
Absentee Voting,F,81285.08
Registration Services,F,90848
Polling Place Management,M,75538.95
Election Judge Recruitment,F,90848
Election Judge Recruitment,F,78902
Election Judge Recruitment,F,78902
Information Technology,F,115627.88
Election Operations,F,94547.2
Election Judge Recruitment,M,90848
Polling Place Management,F,70779.09
Registration Services,F,61734.94
Registration Services,M,59654.55
Absentee Voting,F,67077.33
Registration Services,F,61734.94
Polling Place Management,M,71852
Polling Place Management,M,59660
Absentee Voting,F,66328.14
Information Technology,M,86091.35
Registration Services,F,61734.94
Registration Services,F,37506
Voter Services,F,37506
Director's Office,F,144746.29
Information Technology,F,81006.11
Registration Services,F,50534.89
Information Technology,F,73918.05
Voter Services,F,90417.59
Polling Place Management,M,85194.99
Director's Office,F,76390.98
Administration,F,90596.75
Support Services,F,98208.99
Insurance Defense Litigation,F,150527
Insurance Defense Litigation,F,150527
Health and Human Services,F,147215
Health and Human Services,F,150527
"Zoning, Land Use and Economic Development",M,150527
County Attorney,M,210143
County Attorney's Office,F,144749.99
Human Resources and Appeals,F,167345
Government Operations,M,167345
Insurance Defense Litigation,F,163663
Human Resources and Appeals,M,132807.1
Finance and Procurement,F,136658.32
Finance and Procurement,F,150527
Government Operations,F,144203.9
Administration,M,187233
Support Services,F,66395.05
Support Services,F,71852
Human Resources and Appeals,F,120898.76
Finance and Procurement,F,99852
Insurance Defense Litigation,M,147215
Government Operations,F,119003.36
Health and Human Services,F,88427.5
Finance and Procurement,F,90848
Finance and Procurement,F,71852
Administration,F,44193.16
Insurance Defense Litigation,M,150527
"Zoning, Land Use and Economic Development",M,115107.17
"Zoning, Land Use and Economic Development",M,167345
Insurance Defense Litigation,F,135995.45
Support Services,F,71852
Human Resources and Appeals,F,150527
Insurance Defense Litigation,F,164111.25
Finance and Procurement,F,71852
"Zoning, Land Use and Economic Development",F,150527
Support Services,F,62488
Health and Human Services,M,162107.15
Insurance Defense Litigation,F,150527
"Zoning, Land Use and Economic Development",M,150527
Finance and Procurement,F,55912.4
Support Services,F,61113
Human Resources and Appeals,F,137065.18
Insurance Defense Litigation,F,78902
Human Resources and Appeals,F,136658.32
Government Operations,F,150527
Insurance Defense Litigation,M,129501.98
Health and Human Services,F,139264.5
Finance and Procurement,M,167345
Health and Human Services,F,127364.69
Finance and Procurement,F,20470.01
Insurance Defense Litigation,M,131601
Finance and Procurement,F,59134.45
Insurance Defense Litigation,F,128741.7
Support Services,F,64711.87
Insurance Defense Litigation,F,77973.87
Administration,F,51158.14
Insurance Defense Litigation,F,140560.09
"Zoning, Land Use and Economic Development",M,113172.39
Human Resources and Appeals,M,131041.71
Insurance Defense Litigation,F,126596.59
Health and Human Services,F,126596.59
Human Resources and Appeals,M,71223.68
Insurance Defense Litigation,F,74642.42
Support Services,F,60218.92
Finance and Procurement,F,134068.09
Finance and Procurement,F,134068.09
Finance and Procurement,M,107254.47
Human Resources and Appeals,M,86356.26
Insurance Defense Litigation,F,102548.06
Health and Human Services,F,74482.27
Support Services,F,52893.21
Health and Human Services,F,48575.4
Government Operations,F,150527
Insurance Defense Litigation,F,96115
Insurance Defense Litigation,F,94070
Insurance Defense Litigation,M,130368.75
Insurance Defense Litigation,M,94070
Insurance Defense Litigation,F,94070
Council Central Staff,F,141566
Council Members and Staff,F,160000
Council Central Staff,F,99852
Council Central Staff,M,187233
Council Central Staff,F,110671.9
Council Members and Staff,F,75438.05
Council Members and Staff,F,141616.25
Council Central Staff,M,167345
Council Members and Staff,F,182232.46
Council Central Staff,F,144751
Council Members and Staff,F,140371.07
Council Central Staff,M,167345
Council Central Staff,F,206000
Council Central Staff,M,92039.75
Council Central Staff,F,90848
Council Central Staff,M,123799
Council Central Staff,F,35149.5
